Cashflow_code,Cashflow_line_item,BS_item_code,Source_usage,Cashflow_factor_base,Deposits_amber,Credit_amber,FTP_Profitability_amber,News_amber,Equity_market_amber,Interest_rate_amber,International_economics_amber,Credit_sentiment_amber,Deposits_red,Credit_red,FTP_Profitability_red,News_red,Equity_market_red,Interest_rate_red,International_economics_red,Credit_sentiment_red
LIA_EQU_CAP_01,Equity_capital_raise,LIA_EQU_CAP,Source,0.0000,0.0000,0.0000,0.0000,0.0000,-0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.0000,0.0000,0.0000,0.0000
LIA_EQU_CAP_02,Equity_capital_payoff,LIA_EQU_CAP,Usage,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
LIA_DEP_CAS_01,Deposit_CASA_mobilisation,LIA_DEP_CAS,Source,0.0500,-0.5000,0.0000,0.0000,-0.5000,0.1000,0.1000,0.0000,0.0000,-1.0000,0.0000,0.0000,-1.0000,0.2000,0.2000,0.0000,0.0000
LIA_DEP_CAS_02,Deposit_CASA_behavioural_runoff,LIA_DEP_CAS,Usage,0.0500,0.5000,0.0000,0.0000,0.5000,0.0000,-0.1000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,-0.2000,0.0000,0.0000
LIA_DEP_TDD_01,Deposit_TD_mobilisation,LIA_DEP_TDD,Source,0.2500,-0.5000,0.0000,0.0000,0.0000,0.1000,0.2500,0.0000,0.0000,-1.0000,0.0000,0.0000,0.0000,0.2000,0.5000,0.0000,0.0000
LIA_DEP_TDD_02,Deposit_TD_maturity,LIA_DEP_TDD,Usage,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
LIA_DEP_TDD_03,Deposit_TD_premat_withdraw,LIA_DEP_TDD,Usage,0.0500,0.5000,0.0000,0.0000,0.5000,0.0000,-0.1000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,-0.2000,0.0000,0.0000
LIA_BOR_CBB_01,Borrowing_central_bank_mobilisation,LIA_BOR_CBB,Source,1.2000,0.0500,0.0000,0.0000,0.0000,0.0000,-0.1000,0.0000,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,-0.2000,0.0000,0.0000
LIA_BOR_CBB_02,Borrowing_central_bank_maturity,LIA_BOR_CBB,Usage,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
LIA_BOR_STT_01,Short_term_borrowing_mobilisation,LIA_BOR_STT,Source,0.5000,0.1000,0.0000,0.0000,-0.5000,0.0000,-0.1000,0.0000,0.0000,0.2000,0.0000,0.0000,-1.0000,0.0000,-0.2000,0.0000,0.0000
LIA_BOR_STT_02,Short_term_borrowing_maturity,LIA_BOR_STT,Usage,0.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
LIA_BOR_STT_03,Short_term_borrowing_options,LIA_BOR_STT,Usage,0.0000,0.0500,0.0000,0.0000,0.2000,0.0000,0.1000,0.0000,0.0000,0.1000,0.0000,0.0000,0.4000,0.0000,0.2000,0.0000,0.0000
LIA_BOR_LTT_01,Long_term_borrowing_mobilisation,LIA_BOR_LTT,Source,0.5000,0.0500,0.0000,0.0000,-0.5000,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0000
LIA_BOR_LTT_02,Long_term_borrowing_maturity,LIA_BOR_LTT,Usage,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
LIA_BOR_LTT_03,Long_term_borrowing_options,LIA_BOR_LTT,Usage,0.0200,0.0200,0.0000,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000
LIA_OTH_LIA_01,Other_liability_increase,LIA_OTH_LIA,Source,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
LIA_OTH_LIA_02,Other_liability_decrease,LIA_OTH_LIA,Usage,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ASS_DEP_CBB_01,Deposits_central_bank_increase,ASS_DEP_CBB,Usage,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ASS_DEP_CBB_02,Deposits_other_banks_increase,ASS_DEP_OTH,Usage,0.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ASS_INV_EQU_01,Investment_equity_long,ASS_INV_EQU,Usage,1.0000,0.0000,0.0000,0.0000,0.0000,-0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.4000,0.0000,0.0000,0.0000
ASS_INV_EQU_02,Investment_equity_short,ASS_INV_EQU,Source,1.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4000,0.4000,0.0000,0.0000
ASS_INV_GSE_01,Investment_GSEC_long,ASS_INV_GSE,Usage,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.2000,0.0000,0.0000
ASS_INV_GSE_02,Investment_GSEC_short,ASS_INV_GSE,Source,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000
ASS_INV_FII_01,Investment_fixed_income_long,ASS_INV_FII,Usage,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.2000,0.0000,0.0000
ASS_INV_FII_02,Investment_fixed_income_short,ASS_INV_FII,Source,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000
ASS_INV_FXI_01,Investment_forex_long,ASS_INV_FXI,Usage,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4000,0.0000
ASS_INV_FXI_02,Investment_forex_short,ASS_INV_FXI,Source,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.4000,0.0000
ASS_LOA_RET_01,Loans_retail_maturity,ASS_LOA_RET,Source,0.0300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ASS_LOA_RET_02,Loans_retail_prepayment,ASS_LOA_RET,Source,0.0100,0.0000,-0.2000,0.0000,0.0000,0.0000,0.2000,0.0000,-0.1000,0.0000,-0.4000,0.0000,0.0000,0.0000,0.4000,0.0000,-0.2000
ASS_LOA_RET_03,Loans_retail_delinquency,ASS_LOA_RET,Usage,0.0100,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000
ASS_LOA_RET_04,Loans_retail_mobilisation,ASS_LOA_RET,Usage,0.0500,0.0000,0.2500,0.0000,0.0000,0.0000,-0.2000,0.0000,0.1000,0.0000,0.5000,0.0000,0.0000,0.0000,-0.4000,0.0000,0.2000
ASS_LOA_WSA_01,Loans_wholesale_maturity,ASS_LOA_WSA,Source,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ASS_LOA_WSA_02,Loans_wholesale_prepayment,ASS_LOA_WSA,Source,0.0000,0.0000,-0.2000,0.0000,0.0000,-0.2000,0.0000,0.0000,-0.5000,0.0000,-0.4000,0.0000,0.0000,-0.4000,0.0000,0.0000,-1.0000
ASS_LOA_WSA_03,Loans_wholesale_delinquency,ASS_LOA_WSA,Usage,0.0100,0.0000,0.1000,0.0000,0.0000,0.1000,0.0000,0.0000,0.5000,0.0000,0.2000,0.0000,0.0000,0.2000,0.0000,0.0000,1.0000
ASS_LOA_WSA_04,Loans_wholesale_mobilisation,ASS_LOA_WSA,Usage,0.1200,0.0000,0.2500,0.0000,0.0000,0.1000,0.0000,0.0000,0.2000,0.0000,0.5000,0.0000,0.0000,0.2000,0.0000,0.0000,0.4000
ASS_OTH_ASS_01,Other_asset_increase,ASS_OTH_ASS,Usage,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ASS_OTH_ASS_02,Other_asset_decrease,ASS_OTH_ASS,Source,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
OFF_LCS_SBL_01,LC_SBLC_invocation,OFF_LCS_SBL,Usage,0.0100,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
OFF_LCS_SBL_02,LC_SBLC_collection,OFF_LCS_SBL,Source,0.0100,0.0000,-0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
OFF_SWA_DER_01,Swap_derivative_outflow,OFF_SWA_DER,Usage,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
OFF_SWA_DER_02,Swap_derivative_inflow,OFF_SWA_DER,Source,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
